全角,和暦,辞書用よみ,西暦,和暦元号,和暦（読み）,年（半）,年（全）,十子,読み,十二支,読み,時代区分,備考
６６３,天智天皇（諡号）2,てんちてんのう２,663,天智天皇（諡号）,てんちてんのう,2,２,癸,みずのと,亥,いのしし,,
６６４,天智天皇（諡号）3,てんちてんのう３,664,天智天皇（諡号）,てんちてんのう,3,３,甲,きのえ,子,ねずみ,,
６６５,天智天皇（諡号）4,てんちてんのう４,665,天智天皇（諡号）,てんちてんのう,4,４,乙,きのと,丑,うし,,
６６６,天智天皇（諡号）5,てんちてんのう５,666,天智天皇（諡号）,てんちてんのう,5,５,丙,ひのえ,寅,とら,,
６６７,天智天皇（諡号）6,てんちてんのう６,667,天智天皇（諡号）,てんちてんのう,6,６,丁,ひのと,卯,うさぎ,,
６６８,天智天皇（諡号）7,てんちてんのう７,668,天智天皇（諡号）,てんちてんのう,7,７,戊,つちのえ,辰,たつ,,
６６９,天智天皇（諡号）8,てんちてんのう８,669,天智天皇（諡号）,てんちてんのう,8,８,己,つちのと,巳,へび,,
６７０,天智天皇（諡号）9,てんちてんのう９,670,天智天皇（諡号）,てんちてんのう,9,９,庚,かのえ,午,うま,,
６７１,天智天皇（諡号）10,てんちてんのう１０,671,天智天皇（諡号）,てんちてんのう,10,１０,辛,かのと,未,ひつじ,,
６７２,天智天皇（諡号）11,てんちてんのう１１,672,天智天皇（諡号）,てんちてんのう,11,１１,壬,みずのえ,申,さる,0,壬申の乱
６６２,天智天皇（諡号）1,てんじてんのう１,662,天智天皇（諡号）,てんじてんのう,1,１,壬,みずのえ,戌,いぬ,0,
６６３,天智天皇（諡号）2,てんじてんのう２,663,天智天皇（諡号）,てんじてんのう,2,２,癸,みずのと,亥,いのしし,,
６６４,天智天皇（諡号）3,てんじてんのう３,664,天智天皇（諡号）,てんじてんのう,3,３,甲,きのえ,子,ねずみ,,
６６５,天智天皇（諡号）4,てんじてんのう４,665,天智天皇（諡号）,てんじてんのう,4,４,乙,きのと,丑,うし,,
６６６,天智天皇（諡号）5,てんじてんのう５,666,天智天皇（諡号）,てんじてんのう,5,５,丙,ひのえ,寅,とら,,
